// 09/07/2025 11.07.01
// ReaderName=Speedwayr-15-32-c2, AntennaIDs=1, InventoryMode=DualTarget, ModeIndex=1003, Population=32, PowerInDbm=31,5, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2025-07-09T11:19:23.3656510+03:00,A30000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"3,9484665480176404",
2025-07-09T11:19:23.3849460+03:00,A30000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"0,7547185476397354",
2025-07-09T11:19:23.4104820+03:00,A30000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"0,923456434307156",
2025-07-09T11:19:23.4460870+03:00,A30000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"1,55545651891604",
2025-07-09T11:19:23.7499080+03:00,A70000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"1,1198059751565181",
2025-07-09T11:19:23.7693630+03:00,A40000000000000000000000,,1,"-63,5","865,7",Speedwayr-15-32-c2,"4,371845245474077",
2025-07-09T11:19:23.7946030+03:00,A70000000000000000000000,,1,"-62,5","865,7",Speedwayr-15-32-c2,"1,607611865704152",
2025-07-09T11:19:23.8551190+03:00,A40000000000000000000000,,1,-62,"865,7",Speedwayr-15-32-c2,"4,71238898038469",
2025-07-09T11:19:23.8693000+03:00,A40000000000000000000000,,1,"-63,5","865,7",Speedwayr-15-32-c2,"1,7794177139473437",
2025-07-09T11:19:24.0160680+03:00,A40000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"4,890330751779424",
2025-07-09T11:19:24.0389820+03:00,A40000000000000000000000,,1,-64,"865,7",Speedwayr-15-32-c2,"4,693981210930062",
2025-07-09T11:19:24.0866220+03:00,A40000000000000000000000,,1,-60,"865,7",Speedwayr-15-32-c2,"4,442408361716817",
2025-07-09T11:19:24.1531750+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"0,30066023442558565",
2025-07-09T11:19:24.1710770+03:00,A60000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"0,34974761963792617",
2025-07-09T11:19:24.1746300+03:00,A40000000000000000000000,,1,"-55,5","865,7",Speedwayr-15-32-c2,"1,41126232485479",
2025-07-09T11:19:24.2059930+03:00,A40000000000000000000000,,1,-54,"865,7",Speedwayr-15-32-c2,"1,4787574795217582",
2025-07-09T11:19:24.2291750+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"4,006757817957295",
2025-07-09T11:19:24.2892560+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"4,663301595172349",
2025-07-09T11:19:24.2974360+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"1,576932249946439",
2025-07-09T11:19:24.3018230+03:00,A60000000000000000000000,,1,-52,"865,7",Speedwayr-15-32-c2,"1,4848934026733007",
2025-07-09T11:19:24.3154380+03:00,A70000000000000000000000,,1,-62,"865,7",Speedwayr-15-32-c2,"1,2302525918842842",
2025-07-09T11:19:24.3258100+03:00,A20000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"1,1443496677626883",
2025-07-09T11:19:24.3288300+03:00,A40000000000000000000000,,1,"-55,5","865,7",Speedwayr-15-32-c2,"1,5892040962495242",
2025-07-09T11:19:24.3348330+03:00,A60000000000000000000000,,1,"-53,5","865,7",Speedwayr-15-32-c2,"1,7855536370988863",
2025-07-09T11:19:24.3499180+03:00,A20000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"4,525243324262641",
2025-07-09T11:19:24.3737330+03:00,A40000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"1,5585244804918115",
2025-07-09T11:19:24.3958740+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"5,062136600022616",
2025-07-09T11:19:24.4026680+03:00,A20000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"4,457748169595673",
2025-07-09T11:19:24.4339570+03:00,A20000000000000000000000,,1,"-61,5","865,7",Speedwayr-15-32-c2,"4,795223942930514",
2025-07-09T11:19:24.4380840+03:00,A60000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"5,237010409841579",
2025-07-09T11:19:24.4400050+03:00,A40000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"4,847379289718626",
2025-07-09T11:19:24.4841470+03:00,A60000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"5,304505564508547",
2025-07-09T11:19:24.5175090+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"5,286097795053919",
2025-07-09T11:19:24.5191970+03:00,A40000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"4,792155981354743",
2025-07-09T11:19:24.5476500+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"5,003845330082961",
2025-07-09T11:19:24.5635800+03:00,A40000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"1,902136176978195",
2025-07-09T11:19:24.5839940+03:00,A60000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"5,286097795053919",
2025-07-09T11:19:24.5971160+03:00,A20000000000000000000000,,1,"-63,5","865,7",Speedwayr-15-32-c2,"1,5953400194010667",
2025-07-09T11:19:24.6168750+03:00,A40000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"2,000310947402876",
2025-07-09T11:19:24.6410740+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"5,197126909356553",
2025-07-09T11:19:24.7078940+03:00,A60000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"5,206330794083867",
2025-07-09T11:19:24.7478660+03:00,A40000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"5,144971562568441",
2025-07-09T11:19:24.7656760+03:00,A20000000000000000000000,,1,"-63,5","865,7",Speedwayr-15-32-c2,"5,1817871014776955",
2025-07-09T11:19:24.7967310+03:00,A40000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"5,1817871014776955",
2025-07-09T11:19:24.8313070+03:00,A60000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"5,537670644267164",
2025-07-09T11:19:24.8394220+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"2,12916533358527",
2025-07-09T11:19:24.8416550+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"2,454369260617026",
2025-07-09T11:19:24.9208150+03:00,A40000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"5,258486140871978",
2025-07-09T11:19:24.9600540+03:00,A40000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"5,316777410811632",
2025-07-09T11:19:24.9749510+03:00,A60000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"5,822991070813893",
2025-07-09T11:19:24.9975760+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"2,2580197197676637",
2025-07-09T11:19:25.0298180+03:00,A40000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"2,2580197197676637",
2025-07-09T11:19:25.0728220+03:00,A40000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"2,2212041808584084",
2025-07-09T11:19:25.1560640+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"5,390408488630143",
2025-07-09T11:19:25.2038760+03:00,A40000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"2,3746022596469727",
2025-07-09T11:19:25.2309250+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"2,386874105950058",
2025-07-09T11:19:25.2665370+03:00,A60000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"6,0469522658451975",
2025-07-09T11:19:25.3032720+03:00,A40000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"5,445631796994026",
2025-07-09T11:19:25.3370110+03:00,A60000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"6,126719266815251",
