// 07/07/2025 10.52.02
// ReaderName=Speedwayr-15-32-c2, AntennaIDs=1, InventoryMode=DualTarget, ModeIndex=1003, Population=32, PowerInDbm=31,5, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2025-07-07T11:04:02.5221560+03:00,A30000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"0,4356505437595221",
2025-07-07T11:04:02.6581990+03:00,A30000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"0,45712627478992107",
2025-07-07T11:04:02.8018790+03:00,A30000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"3,752117007168278",
2025-07-07T11:04:02.8261540+03:00,A30000000000000000000000,,1,"-53,5","865,7",Speedwayr-15-32-c2,"0,803805932852076",
2025-07-07T11:04:02.8535760+03:00,A30000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"0,5951845456996288",
2025-07-07T11:04:02.8966200+03:00,A30000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"1,0615147052168636",
2025-07-07T11:04:02.9273770+03:00,A30000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"4,206175320382428",
2025-07-07T11:04:02.9483850+03:00,A30000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"1,2517283229146832",
2025-07-07T11:04:02.9658700+03:00,A30000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"4,3411656297163645",
2025-07-07T11:04:02.9772090+03:00,A30000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"1,4051264017032472",
2025-07-07T11:04:03.0079680+03:00,A30000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"4,7400006345666315",
2025-07-07T11:04:03.0295580+03:00,A30000000000000000000000,,1,"-57,5","865,7",Speedwayr-15-32-c2,"4,7860200582032",
2025-07-07T11:04:03.4835450+03:00,A30000000000000000000000,,1,-62,"865,7",Speedwayr-15-32-c2,"1,1167380135807468",
2025-07-07T11:04:03.7323030+03:00,A40000000000000000000000,,1,-63,"865,7",Speedwayr-15-32-c2,"0,9909515889741242",
2025-07-07T11:04:03.7608800+03:00,A40000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"1,239456476611598",
2025-07-07T11:04:03.8066430+03:00,A40000000000000000000000,,1,-60,"865,7",Speedwayr-15-32-c2,"3,9944859716542096",
2025-07-07T11:04:03.8289720+03:00,A40000000000000000000000,,1,-63,"865,7",Speedwayr-15-32-c2,"3,9300587785630126",
2025-07-07T11:04:03.8630490+03:00,A40000000000000000000000,,1,-60,"865,7",Speedwayr-15-32-c2,"4,414796707534875",
2025-07-07T11:04:03.8801900+03:00,A40000000000000000000000,,1,-61,"865,7",Speedwayr-15-32-c2,"1,4480778637640452",
2025-07-07T11:04:03.9224710+03:00,A40000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"4,411728745959104",
2025-07-07T11:04:03.9421450+03:00,A40000000000000000000000,,1,-60,"865,7",Speedwayr-15-32-c2,"4,509903516383785",
2025-07-07T11:04:03.9929430+03:00,A40000000000000000000000,,1,-62,"865,7",Speedwayr-15-32-c2,"1,3069516312785663",
2025-07-07T11:04:04.0755780+03:00,A40000000000000000000000,,1,"-60,5","865,7",Speedwayr-15-32-c2,"4,804427827657828",
2025-07-07T11:04:04.1735260+03:00,A60000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"3,543495620015831",
2025-07-07T11:04:04.2021100+03:00,A40000000000000000000000,,1,"-59,5","865,7",Speedwayr-15-32-c2,"4,9823695990525625",
2025-07-07T11:04:04.2436830+03:00,A60000000000000000000000,,1,-58,"865,7",Speedwayr-15-32-c2,"4,06811704947272",
2025-07-07T11:04:04.2884640+03:00,A60000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"1,1596894756415448",
2025-07-07T11:04:04.3126320+03:00,A60000000000000000000000,,1,-59,"865,7",Speedwayr-15-32-c2,"1,5155730184310134",
2025-07-07T11:04:04.3356280+03:00,A60000000000000000000000,,1,"-58,5","865,7",Speedwayr-15-32-c2,"1,4419419406125027",
